--/
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000795.wav	395816
D:\MAE_AST_datasets\librispeech\train-clean-100/1081\125237\1081-125237-0081.flac	238720
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000478.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000807.wav	480000
D:\MAE_AST_datasets\librispeech\train-clean-100/1081\128618\1081-128618-0002.flac	247120
D:\MAE_AST_datasets\librispeech\train-clean-100/1069\133699\1069-133699-0000.flac	250080
D:\MAE_AST_datasets\librispeech\train-clean-100/103\1240\103-1240-0047.flac	206320
D:\MAE_AST_datasets\librispeech\train-clean-100/1081\125237\1081-125237-0045.flac	50560
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000083.wav	440999
D:\MAE_AST_datasets\librispeech\train-clean-100/118\124588\118-124588-0015.flac	234400
D:\MAE_AST_datasets\librispeech\train-clean-100/1088\134315\1088-134315-0033.flac	203200
D:\MAE_AST_datasets\librispeech\train-clean-100/1069\133699\1069-133699-0047.flac	248720
D:\MAE_AST_datasets\librispeech\train-clean-100/1034\121119\1034-121119-0023.flac	246000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000896.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000770.wav	480000
D:\MAE_AST_datasets\librispeech\train-clean-100/103\1240\103-1240-0051.flac	245760
D:\MAE_AST_datasets\librispeech\train-clean-100/1116\137572\1116-137572-0043.flac	119840
D:\MAE_AST_datasets\librispeech\train-clean-100/1183\133256\1183-133256-0018.flac	88000
D:\MAE_AST_datasets\librispeech\train-clean-100/1034\121119\1034-121119-0065.flac	116240
D:\MAE_AST_datasets\librispeech\train-clean-100/1081\125237\1081-125237-0071.flac	251200
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000997.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000792.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000769.wav	480000
D:\MAE_AST_datasets\librispeech\train-clean-100/1040\133433\1040-133433-0059.flac	222560
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000352.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000266.wav	441000
D:\MAE_AST_datasets\librispeech\train-clean-100/1098\133695\1098-133695-0053.flac	113600
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000042.wav	441000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000528.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000097.wav	480000
D:\MAE_AST_datasets\librispeech\train-clean-100/1034\121119\1034-121119-0071.flac	234960
D:\MAE_AST_datasets\librispeech\train-clean-100/1183\128659\1183-128659-0014.flac	48480
D:\MAE_AST_datasets\librispeech\train-clean-100/1034\121119\1034-121119-0013.flac	143760
D:\MAE_AST_datasets\librispeech\train-clean-100/1081\125237\1081-125237-0024.flac	217760
D:\MAE_AST_datasets\librispeech\train-clean-100/1088\134315\1088-134315-0016.flac	195200
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000830.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000838.wav	441000
D:\MAE_AST_datasets\librispeech\train-clean-100/103\1240\103-1240-0027.flac	223440
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000701.wav	480000
D:\MAE_AST_datasets\audioset\unbalanced\train/audioset_train_000342.wav	480000
D:\MAE_AST_datasets\librispeech\train-clean-100/1098\133695\1098-133695-0043.flac	199920
